Recipe Name,Ingredients,Cuisine,Meal Type,Dietary Restrictions,Rating,Reviews,Calories,Source/Origin,Preparation Time,Cook Time,Total Time,Difficulty Level,Servings,Protein,Fat,Carbs
Margherita Pizza,"Pizza dough, mozzarella cheese, tomatoes, fresh basil, olive oil, salt, pepper",Italian,Dinner,Vegetarian,4.7,Simple and delicious!,320,Personal creation,30 minutes,15 minutes,45 minutes,Moderate,2,Protein: 15g, Fat: 10g, Carbohydrates: 30g
Beef and Broccoli Stir-Fry,"Beef sirloin, broccoli, garlic, soy sauce, oyster sauce, sesame oil, cornstarch, ginger",Asian,Dinner,None,4.5,Flavorful and satisfying!,380,Website,20 minutes,15 minutes,35 minutes,Easy,4,Protein: 30g, Fat: 12g, Carbohydrates: 20g
Mushroom Risotto,"Arborio rice, mushrooms, onion, garlic, vegetable broth, white wine, Parmesan cheese, butter",Italian,Dinner,Vegetarian,4.6,Creamy and delicious!,420,Cookbook,15 minutes,30 minutes,45 minutes,Moderate,4,Protein: 10g, Fat: 15g, Carbohydrates: 60g
Chicken Parmesan,"Chicken breast, breadcrumbs, Parmesan cheese, marinara sauce, mozzarella cheese, olive oil",Italian,Dinner,None,4.8,Classic and satisfying!,450,Cookbook,20 minutes,30 minutes,50 minutes,Moderate,2,Protein: 30g, Fat: 14g, Carbohydrates: 25g
Fruit Smoothie,"Banana, berries (such as strawberries, blueberries, raspberries), yogurt, milk, honey",American,Breakfast,None,4.3,Refreshing and nutritious!,180,Personal creation,5 minutes,0 minutes,5 minutes,Easy,2,Protein: 8g, Fat: 2g, Carbohydrates: 30g
Shrimp Scampi,"Shrimp, garlic, butter, white wine, lemon juice, parsley, red pepper flakes, spaghetti",Italian,Dinner,None,4.9,Buttery and flavorful!,380,Website,10 minutes,15 minutes,25 minutes,Easy,4,Protein: 25g, Fat: 18g, Carbohydrates: 30g
Vegetable Lasagna,"Lasagna noodles, mixed vegetables (such as zucchini, bell peppers, spinach), marinara sauce, ricotta cheese, mozzarella cheese, Parmesan cheese",Italian,Dinner,Vegetarian,4.5,Hearty and satisfying!,420,Website,30 minutes,45 minutes,75 minutes,Difficult,6,Protein: 20g, Fat: 10g, Carbohydrates: 60g
Pancakes,"Flour, milk, eggs, sugar, baking powder, butter, maple syrup",American,Breakfast,None,4.7,Fluffy and delicious!,250,Personal creation,10 minutes,10 minutes,20 minutes,Easy,4,Protein: 8g, Fat: 5g, Carbohydrates: 30g
Chicken Noodle Soup,"Chicken breast, carrots, celery, onion, garlic, chicken broth, egg noodles, thyme",American,Lunch,None,4.4,Comforting and nourishing!,280,Cookbook,15 minutes,30 minutes,45 minutes,Moderate,4,Protein: 20g, Fat: 5g, Carbohydrates: 40g
Garden Salad,"Mixed greens, cherry tomatoes, cucumbers, bell peppers, red onion, olives, feta cheese, vinaigrette dressing",American,Lunch,Vegetarian,4.2,Fresh and flavorful!,180,Personal creation,10 minutes,0 minutes,10 minutes,Easy,2,Protein: 5g, Fat: 10g, Carbohydrates: 10g
